2020-07-01 21:46:43 [8]  圣骑之痕第[1]刀整刀,对2周目Boss5造成[622,732]伤害,剩余血量[7,562,953]
2020-07-01 21:51:33 [8]  【蜗牛】莉玛Official第[2]刀整刀,对2周目Boss5造成[732,492]伤害,剩余血量[6,830,461]
2020-07-01 21:52:40 [8]  圣骑之痕第[2]刀整刀,对2周目Boss5造成[505,228]伤害,剩余血量[6,325,233]
2020-07-01 21:53:41 [8]  我就叫柚子第[3]刀整刀,对2周目Boss5造成[424,113]伤害,剩余血量[5,901,120]
2020-07-01 22:01:04 [8]  沫凉第[2]刀整刀,对2周目Boss5造成[699,089]伤害,剩余血量[4,719,915]
2020-07-01 22:09:16 [8]  【蜗牛】莉玛Official第[3]刀整刀,对2周目Boss5造成[399,682]伤害,剩余血量[4,320,233]
2020-07-01 22:17:40 [8]  永远滴神第[3]刀整刀,对2周目Boss5造成[336,729]伤害,剩余血量[3,983,504]
2020-07-01 22:22:43 [8]  沫凉第[3]刀整刀,对2周目Boss5造成[287,777]伤害,剩余血量[3,695,727]
2020-07-01 22:38:26 [8]  Anemone第[1]刀整刀,对2周目Boss5造成[645,165]伤害,剩余血量[3,050,562]
2020-07-01 22:43:04 [8]  Anemone第[2]刀整刀,对2周目Boss5造成[508,032]伤害,剩余血量[2,542,530]
2020-07-01 22:48:41 [8]  Anemone第[3]刀整刀,对2周目Boss5造成[289,122]伤害,剩余血量[2,253,408]
2020-07-01 23:09:07 [8]  虚空的风灯第[2]刀整刀,对2周目Boss5造成[683,620]伤害,剩余血量[1,569,788]
2020-07-01 23:09:09 [8]  血与泪第[3]刀整刀,对2周目Boss5造成[407,179]伤害,剩余血量[1,162,609]
2020-07-01 23:27:59 [8]  Railgun第[3]刀整刀,对2周目Boss5造成[426,024]伤害,剩余血量[736,585]
2020-07-01 23:34:33 [8]  SEAREA第[2]刀整刀,对2周目Boss5造成[640,387]伤害,剩余血量[96,198]
2020-07-01 23:46:31 [8]  温泉第[0.5]刀尾刀,对3周目Boss1造成[578,314]伤害,当前Boss已被击杀
2020-07-01 23:48:30 [8]  温泉第[1.0]刀补刀,对3周目Boss1造成[74,255]伤害,剩余血量[5,925,745]
2020-07-01 23:56:11 [8]  温泉第[2.0]刀整刀,对3周目Boss1造成[715,001]伤害,剩余血量[5,210,744]
2020-07-02 00:15:45 [8]  SEAREA第[3]刀整刀,对3周目Boss1造成[419,794]伤害,剩余血量[4,790,950]
2020-07-02 00:18:35 [8]  温泉第[3.0]刀整刀,对3周目Boss1造成[305,061]伤害,剩余血量[4,485,889]
2020-07-02 00:27:14 [8]  麻绳小桥第[1]刀整刀,对3周目Boss1造成[687,371]伤害,剩余血量[3,798,518]
2020-07-02 00:38:08 [8]  米栗鼠与袋狸第[3]刀整刀,对3周目Boss1造成[497,538]伤害,剩余血量[2,638,956]
2020-07-02 00:43:12 [8]  古拉顿第[1]刀整刀,对3周目Boss1造成[794,173]伤害,剩余血量[1,844,783]
2020-07-02 00:53:38 [8]  麻绳小桥第[3]刀整刀,对3周目Boss1造成[435,324]伤害,剩余血量[1,409,459]
2020-07-02 00:57:13 [8]  古拉顿第[2]刀整刀,对3周目Boss1造成[749,957]伤害,剩余血量[659,502]
2020-07-02 01:20:38 [8]  古拉顿第[3]刀整刀,对3周目Boss1造成[426,073]伤害,剩余血量[233,429]
2020-07-02 02:10:58 [8]  无期第[0.5]刀尾刀,对3周目Boss2造成[233,429]伤害,当前Boss已被击杀
2020-07-02 02:13:25 [8]  无期第[1.0]刀补刀,对3周目Boss2造成[285,440]伤害,剩余血量[7,714,560]
2020-07-02 02:20:07 [8]  无期第[2.0]刀整刀,对3周目Boss2造成[1,069,672]伤害,剩余血量[6,644,888]
2020-07-02 02:25:58 [8]  虚空的风灯第[3]刀整刀,对3周目Boss2造成[1,050,937]伤害,剩余血量[5,593,951]
2020-07-02 02:33:38 [8]  无期第[3.0]刀整刀,对3周目Boss2造成[712,534]伤害,剩余血量[4,881,417]
2020-07-02 02:47:28 [8]  雾雨十六夜第[1]刀整刀,对3周目Boss2造成[994,048]伤害,剩余血量[3,887,369]
2020-07-02 02:53:40 [8]  雾雨十六夜第[2]刀整刀,对3周目Boss2造成[540,612]伤害,剩余血量[3,346,757]
2020-07-02 02:55:49 [8]  拉贝特第[1]刀整刀,对3周目Boss2造成[981,187]伤害,剩余血量[2,365,570]
2020-07-02 02:56:04 [8]  拉贝特第[2]刀整刀,对3周目Boss2造成[803,986]伤害,剩余血量[1,561,584]
2020-07-02 02:56:17 [8]  拉贝特第[3]刀整刀,对3周目Boss2造成[590,485]伤害,剩余血量[971,099]
2020-07-02 03:02:54 [8]  雾雨十六夜第[3]刀整刀,对3周目Boss2造成[496,849]伤害,剩余血量[474,250]
2020-07-02 03:31:25 [8]  Luxerion第[2.5]刀尾刀,对3周目Boss3造成[474,250]伤害,当前Boss已被击杀
2020-07-02 03:33:08 [8]  Luxerion第[3.0]刀补刀,对3周目Boss3造成[45,916]伤害,剩余血量[9,954,084]
===============
Day Change
=====================
2020-07-02 07:36:41 [8]  永远滴神第[0]刀整刀,对3周目Boss3造成[643,960]伤害,剩余血量[9,310,124]
2020-07-02 08:04:25 [8]  警觉的食材第[0]刀整刀,对3周目Boss3造成[684,892]伤害,剩余血量[8,625,232]
2020-07-02 08:59:47 [8]  Railgun第[0]刀整刀,对3周目Boss3造成[632,716]伤害,剩余血量[7,992,516]
2020-07-02 09:20:02 [8]  霸王黄龙第[0]刀整刀,对3周目Boss3造成[608,113]伤害,剩余血量[7,384,403]
2020-07-02 10:34:14 [8]  菠萝灵波第[0]刀整刀,对3周目Boss3造成[640,913]伤害,剩余血量[6,743,490]
2020-07-02 10:34:31 [8]  菠萝灵波第[0]刀整刀,对3周目Boss3造成[683,644]伤害,剩余血量[6,059,846]
2020-07-02 11:26:01 [8]  Railgun第[2]刀整刀,对3周目Boss[3]造成[644,832]伤害,剩余血量[5,415,014]
2020-07-02 11:48:56 [8]  圣骑之痕第[1]刀整刀,对3周目Boss[3]造成[706,165]伤害,剩余血量[4,708,849]
2020-07-02 11:59:49 [8]  温泉第[1]刀整刀,对3周目Boss[3]造成[769,935]伤害,剩余血量[3,938,914]
2020-07-02 12:08:17 [8]  圣骑之痕第[2]刀整刀,对3周目Boss[3]造成[531,051]伤害,剩余血量[3,407,863]
